subject,name,publisher,resource_type,resource_role,edition,notes
Türkçe,20 Günde Zemin Hazırla – Paragraf Anlam Bilgisi Soru Bankası,Zeduva,question_bank,reinforcement,2026,Paragraf / anlam bilgisi
Türkçe,2026 KPSS Türkçe – Tamamı Çözümlü Soru Bankası,Hoca Kafası Yayınları,question_bank,primary,2026,Öznur Saat Yıldırım
Matematik,2026 KPSS Matematik Soru Bankası,Yediiklim Atölyesi,question_bank,primary,2026,Mehmet Bilge Yıldız
Matematik,2026 KPSS Genel Yetenek Matematik Soru Bankası – Tamamı Çözümlü,Yargı Plus,question_bank,reinforcement,2026,İlyas Güneş
Coğrafya,2026 KPSS Genel Kültür Coğrafya Video Ders Notları,Yargı Plus,notes,primary,2026,Engin Eraydın
Coğrafya,2026 KPSS Genel Kültür Coğrafya Soru Bankası – Tamamı Çözümlü,Yargı Plus,question_bank,primary,2026,Engin Eraydın
Tarih,2026 KPSS Tarih Ders Notları,Benim Hocam,notes,primary,2026,Ramazan Yetgin
Tarih,2026 KPSS Tarih Soru Bankası – Tamamı Çözümlü,Benim Hocam,question_bank,primary,2026,Ramazan Yetgin
Hukuk,Libertus Anayasa Hukuku – Konu Anlatımlı,Pegem Akademi,book,primary,2026,KPSS A Grubu
Hukuk,Libertus İdare Hukuku – Konu Anlatımlı,Pegem Akademi,book,primary,2026,KPSS A Grubu
Hukuk,Libertus Ceza Hukuku – Konu Anlatımlı,Pegem Akademi,book,primary,2026,KPSS A Grubu
Hukuk,Libertus Medeni Hukuk – Konu Anlatımlı,Pegem Akademi,book,primary,2026,KPSS A Grubu
Hukuk,Libertus Borçlar Hukuku – Konu Anlatımlı,Pegem Akademi,book,primary,2026,KPSS A Grubu
Hukuk,Libertus Ticaret Hukuku – Konu Anlatımlı,Pegem Akademi,book,primary,2026,KPSS A Grubu
Hukuk,Libertus İcra-İflas Hukuku – Konu Anlatımlı,Pegem Akademi,book,primary,2026,KPSS A Grubu
Hukuk,Libertus Hukuk Soru Bankası – Kamu Hukuku,Pegem Akademi,question_bank,reinforcement,2026,"Anayasa, İdare, İdari Yargılama, Ceza, Ceza Muhakemesi"
Hukuk,Libertus Hukuk Soru Bankası – Özel Hukuk,Pegem Akademi,question_bank,reinforcement,2026,"Medeni, Borçlar, Ticaret, İcra-İflas"
İktisat,Economicus Mikro İktisat – Konu Anlatımlı,Pegem Akademi,book,primary,2026,
İktisat,Economicus Makro İktisat Para-Banka-Kredi – Konu Anlatımlı,Pegem Akademi,book,primary,2026,
İktisat,"Economicus Türkiye Ekonomisi, Uluslararası İktisat, Büyüme-Kalkınma ve İktisat Politikası – Ders Notları",Pegem Akademi,notes,primary,2026,
İktisat,Economicus İktisat Soru Bankası 1 – Mikro İktisat,Pegem Akademi,question_bank,reinforcement,2026,
İktisat,Economicus İktisat Soru Bankası 2 – Makro İktisat / Para-Banka-Kredi,Pegem Akademi,question_bank,reinforcement,2026,
Maliye,Optimus Maliye – Konu Anlatımlı,Pegem Akademi,book,primary,2026,
Maliye,Optimus Maliye – Soru Bankası,Pegem Akademi,question_bank,reinforcement,2026,
Muhasebe,Reditus Muhasebe – Konu Anlatımlı,Pegem Akademi,book,primary,2026,
Muhasebe,Reditus Muhasebe – Soru Bankası,Pegem Akademi,question_bank,reinforcement,2026,
